file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\remote\ResponseEntry.java,org.redisson.remote.ResponseEntry$Result,innerclass,2,2,0,2,4,1,0,1,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,17,1,0,0,0,0,0,0,2,0,2,0,0,0,0,13,9,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\PendingEntry.java,org.redisson.api.PendingEntry,class,1,5,4,1,6,1,0,0,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,28,5,0,0,0,0,5,0,4,2,4,0,0,0,0,43,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RListMultimapReactive.java,org.redisson.api.RListMultimapReactive,interface,6,10,4,6,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\listener\StreamRemoveListener.java,org.redisson.api.listener.StreamRemoveListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\RedissonBoundedBlockingQueue.java,org.redisson.RedissonBoundedBlockingQueue,class,18,20,2,18,59,3,0,70,849,0.78499997,0.0,0.0,50,0,44,3,3,0,47,0,0,0,4,0,0,4,0,0,4,0,11,225,51,0,4,0,0,50,5,29,6,32,2,0,0,4,113,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\AggregationCursorResultDecoderV2.java,org.redisson.client.protocol.decoder.AggregationCursorResultDecoderV2,class,3,3,0,3,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,2,2,1,0,0,3,8,8,2,8,2,0,0,0,22,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\codec\MapCacheEventCodec.java,org.redisson.codec.MapCacheEventCodec$Anonymous1,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,4,0,4,1,0,0,0,14,-1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\pubsub\PubSubPatternMessage.java,org.redisson.client.protocol.pubsub.PubSubPatternMessage,class,2,6,4,2,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,23,4,0,0,0,0,4,0,3,1,3,0,0,0,0,16,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RIdGeneratorReactive.java,org.redisson.api.RIdGeneratorReactive,interface,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\TimeLongObjectDecoder.java,org.redisson.client.protocol.decoder.TimeLongObjectDecoder,class,2,3,1,2,4,1,0,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,2,0,1,0,2,0,4,2,3,2,1,0,0,0,14,1,0
